Description,IsScam
"Dear, we are from grab merchant studio, we are looking for elite people to promote grab products online. No investment required. Do you now want to try your hand at earning between S$100 and S$2400 per day by adding products to complete ""like"" tasks? (If you are 18 years old or above, you can earn between S$100 and S$2400 per day). You will get paid immediately after the work is completed. You can easily earn S$3000 and S$100000 per month. If you want this job, please contact me via telegram link below and reply. Get your S$20 sign-up bonus now",true
"Hi, good evening. I'm Celeste. We have a simple Lazada part-time job here, mainly to help Lazada merchants increase their exposure and sales. Just follow stores on Lazada and get paid for following and liking their items. Daily settlement wages. Each follow or like is 2-8 SGD. Working daily salary 150SGD-300SGD. Are you interested in trying this part-time job?",true
"Hello, this is Derek here. I got your contact from recruiting company say that you are keen to learn about the job scope, may I ask if you can spare some of your valuable time to find out what the job details? So I will explain the job in the most concise and clear way possible ya. OK, We are mainly responsible for helping promote air tickets around the world and helping merchants to improve their air tickets ratings, sales and visibility on iss. We dont need to actually go to experience every airline service, this job is to help promote and publicize the rating of major airline companies. Do you have time to learn more now?",true
"Welcome to the Tiktok Promotion Group. We invite you to help Tiktok merchants increase their account visibility and exposure and earn some residual income in your free or spare time. We want you to like, follow, comment and earn around 100SGD - SGD1500 per day. Very sorry if this message bothers you in anyway, if not, I hope we can work together, thanks! In order to save everyone's time, I will release three merchant designated accounts in the group for everyone to complete (3 tasks can earn 10SGD). The main content is: Tik Tok likes/comments/follows designated users and completes 3 tasks to settle one salary: 10SGD",true
"I am Sofia, HR Manager from the Human Resources Department of Bitrex Company. We saw your resume online. Are you still looking for a job? We are currently having a work that deals with giving 3 star reviews or more to merchants, companies, organizations, traders and investors to the global markets on Google, and get payout rewards for completing review tasks. Actually, it is a work from home reviews writing job, and it has a very good pay. Anyone can do it irrespective of one's geographical location or having a full-time job.",true
"Welcome to GrowthOps! I am GrowthOps customer service Jocelyn here. Glad to assist you. Is there anything I can help you? The renew requirement is minimum top up $100 to start submit more film ticket. Do you need to renew now? Please make a payment before renew your ticket, the 100 will be credited directly to your account",true
"Dear, We are from shopee merchant studio and we are looking for elite people to promote shopee products online. No investment is required. Would you now like to try to earn S$20 per day by adding products to Shopee's ""Add to Cart"" task? (If you are 23 years old or above, you can be paid between S$100 and S$2400 per day). You will be paid immediately after the job is completed. You can easily earn between S$3000 and S$100000 per month. If you want this job, please contact me via the link below and reply.",true
"Dear, Do you need a part time job? We are looking for part-timers to promote products online. No investment is required. All you have to do is spend 10-30 minutes clicking on Lazada's online store platform from your cell phone and get paid for helping merchants and products rank higher. (If you're 23 years old or above, you can get paid between SGD 100 and SGD 2400 per day). You will be paid immediately after the work is done. You can easily earn between SGD 3000 and SGD 100000 per month. If you want to get this job, please contact me through the link below and reply 1.",true
"TikTok, Congratulates for being invited, for join our team to earn $50-$350 daily work form home. You code: Y32Q. Please contact us",true
"Hello dear, I am Pauline from LinkedIn, and we recommend a part-time job for you, with an hourly salary of 30S$~100S$! For internal testing for some companies' mobile apps. It's easy to work, you can work for 1-2 hours each time, you can get work permits at least 6 times a week, it's up to you to decide. To apply, please reply",true
